Billing Period Start,Billing Period End,Property Key,Property Label,Job Count,Task Count,Bedrooms,Bathrooms,Quoted Client Price,Quoted Worker Price,Quote Start,Quote End,Source File
2026-03-30,2026-04-12,PROP-258C656D,Property 258C65,3,0,2,1,62.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-2CAD9A11,Property 2CAD9A,2,0,2,1,62.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-D1ADDF45,Property D1ADDF,4,0,1,1,45.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-D98A0A34,Property D98A0A,3,0,2,1,59.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-0231885B,Property 023188,3,0,2,1,62.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-16FD8C17,Property 16FD8C,5,0,2,1,52.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-C498828E,Property C49882,2,1,2,2,69.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-79B22870,Property 79B228,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-4CB595E7,Property 4CB595,1,0,2,2,59.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-0D27E5AE,Property 0D27E5,1,0,3,1,122.50,62.50,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-5CD4E94B,Property 5CD4E9,1,0,1,1,59.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-3D870726,Property 3D8707,1,1,1,1,45.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-167D930B,Property 167D93,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-38676AB9,Property 38676A,2,0,2,2,69.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-FC154A3F,Property FC154A,2,0,2,1,59.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-2CFAA8CA,Property 2CFAA8,1,1,2,0,59.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-086BBC52,Property 086BBC,1,0,1,1,55.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-21A6A97C,Property 21A6A9,1,0,2,2,59.50,45.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-60C27B2C,Property 60C27B,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-2E04A5DE,Property 2E04A5,1,1,2,1,52.50,40.00,2026-01-01,2026-04-09,properties_period_01.csv
2026-03-30,2026-04-12,PROP-34CCC945,Property 34CCC9,0,1,,,0.00,0.00,,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-A2709BF0,Property A2709B,0,1,1,1,45.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-2476444F,Property 247644,0,1,2,1,72.50,40.00,2026-03-19,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-3669A2DD,Property 3669A2,0,1,1,1,52.50,35.00,2026-01-01,,properties_period_01.csv
2026-03-30,2026-04-12,PROP-F3FD8F46,Property F3FD8F,0,1,2,2,66.50,45.00,2026-01-01,,properties_period_01.csv
2026-04-13,2026-04-26,PROP-60C27B2C,Property 60C27B,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-B594FDA8,Property B594FD,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-0231885B,Property 023188,2,0,2,1,62.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-DA79631D,Property DA7963,5,0,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_02.csv
2026-04-13,2026-04-26,PROP-BFCFD3F1,Property BFCFD3,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-2CFAA8CA,Property 2CFAA8,2,0,2,0,59.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-28A7A972,Property 28A7A9,5,0,2,1,52.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-430CA5CF,Property 430CA5,3,1,2,1,59.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-167D930B,Property 167D93,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-43D9B9CC,Property 43D9B9,2,0,3,2,100.00,67.50,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-D98A0A34,Property D98A0A,4,0,2,1,59.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-F75AF396,Property F75AF3,3,1,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-507559B2,Property 507559,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-2476444F,Property 247644,2,1,2,1,72.50,40.00,2026-03-19,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-85C040C1,Property 85C040,4,0,1,1,45.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-AA45D193,Property AA45D1,2,1,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-2CAD9A11,Property 2CAD9A,2,2,2,1,62.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-7EEC7537,Property 7EEC75,1,0,3,2,94.50,67.50,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-21A6A97C,Property 21A6A9,1,0,2,2,59.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-BED38869,Property BED388,1,0,1,1,52.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-086BBC52,Property 086BBC,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-43D8BE16,Property 43D8BE,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-7BD057D4,Property 7BD057,4,0,2,1,66.50,40.00,2026-01-01,2026-07-23,properties_period_02.csv
2026-04-13,2026-04-26,PROP-8F424ACA,Property 8F424A,3,0,1,1,50.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-3669A2DD,Property 3669A2,1,0,1,1,52.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-15C4B2C1,Property 15C4B2,3,1,2,2,66.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-61FE70F2,Property 61FE70,4,0,2,1,52.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-F52FE8B4,Property F52FE8,3,0,2,2,59.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-01FBB1D1,Property 01FBB1,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-0617E567,Property 0617E5,2,2,2,2,69.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-E153285B,Property E15328,2,0,2,2,69.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-D1ADDF45,Property D1ADDF,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-38676AB9,Property 38676A,2,0,2,2,69.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-FC154A3F,Property FC154A,2,0,2,1,59.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-FECE1865,Property FECE18,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-3D870726,Property 3D8707,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-DAB50113,Property DAB501,1,0,2,2,59.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-16FD8C17,Property 16FD8C,2,0,2,1,52.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-258C656D,Property 258C65,2,1,2,1,62.50,40.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-707C236E,Property 707C23,1,1,1,1,45.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-0D443B6C,Property 0D443B,1,0,2,2,59.50,45.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-4DAF268D,Property 4DAF26,1,0,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_02.csv
2026-04-13,2026-04-26,PROP-0A509508,Property 0A5095,1,0,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-07CED4FF,Property 07CED4,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-023A655D,Property 023A65,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-34CCC945,Property 34CCC9,0,10,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-7957A0E6,Property 7957A0,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-6E1FA24E,Property 6E1FA2,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-752722A7,Property 752722,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-39188407,Property 391884,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-8403F4EC,Property 8403F4,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-0D49F4F9,Property 0D49F4,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-52F93D97,Property 52F93D,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-79A1BFBE,Property 79A1BF,0,1,,,0.00,0.00,,,properties_period_02.csv
2026-04-13,2026-04-26,PROP-508CD3F1,Property 508CD3,0,1,1,1,55.50,35.00,2026-01-01,,properties_period_02.csv
2026-04-27,2026-05-10,PROP-430CA5CF,Property 430CA5,2,0,2,1,59.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-DAB50113,Property DAB501,2,2,2,2,59.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-21A6A97C,Property 21A6A9,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-8F424ACA,Property 8F424A,3,0,1,1,50.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-7BD057D4,Property 7BD057,6,0,2,1,66.50,40.00,2026-01-01,2026-07-23,properties_period_03.csv
2026-04-27,2026-05-10,PROP-28A7A972,Property 28A7A9,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-43D9B9CC,Property 43D9B9,2,0,3,2,100.00,67.50,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-D98A0A34,Property D98A0A,6,0,2,1,59.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-85C040C1,Property 85C040,4,1,1,1,45.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-507559B2,Property 507559,3,1,2,1,52.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-2CFAA8CA,Property 2CFAA8,1,0,2,0,59.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-AA45D193,Property AA45D1,3,0,1,1,55.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-61FE70F2,Property 61FE70,5,1,2,1,52.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-D8248E85,Property D8248E,3,0,1,1,45.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-DA79631D,Property DA7963,4,0,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_03.csv
2026-04-27,2026-05-10,PROP-BED38869,Property BED388,1,0,1,1,52.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-167D930B,Property 167D93,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-BFCFD3F1,Property BFCFD3,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-4DAF268D,Property 4DAF26,2,0,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_03.csv
2026-04-27,2026-05-10,PROP-BB4737D7,Property BB4737,1,2,1,1,50.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-CFDA1271,Property CFDA12,2,0,0,1,40.00,30.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-B594FDA8,Property B594FD,3,1,2,1,52.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-43D8BE16,Property 43D8BE,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-16FD8C17,Property 16FD8C,2,0,2,1,52.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-15C4B2C1,Property 15C4B2,4,0,2,2,66.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-3669A2DD,Property 3669A2,1,0,1,1,52.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-C498828E,Property C49882,1,0,2,2,69.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-FECE1865,Property FECE18,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-F75AF396,Property F75AF3,4,0,1,1,55.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-FC154A3F,Property FC154A,1,0,2,1,59.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-38676AB9,Property 38676A,2,1,2,2,69.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-0231885B,Property 023188,2,0,2,1,62.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-0A509508,Property 0A5095,1,0,1,1,55.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-2E327A6F,Property 2E327A,1,0,2,1,52.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-2CAD9A11,Property 2CAD9A,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-797B39C2,Property 797B39,0,1,,,0.00,0.00,,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-34CCC945,Property 34CCC9,0,2,,,0.00,0.00,,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-882A9472,Property 882A94,0,1,,,0.00,0.00,,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-2476444F,Property 247644,0,1,2,1,72.50,40.00,2026-03-19,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-D1ADDF45,Property D1ADDF,0,1,1,1,45.50,35.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-1552FFF3,Property 1552FF,0,1,,,0.00,0.00,,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-811CC74B,Property 811CC7,0,1,2,2,59.50,45.00,2026-01-01,,properties_period_03.csv
2026-04-27,2026-05-10,PROP-A2709BF0,Property A2709B,0,1,1,1,45.50,35.00,2026-01-01,,properties_period_03.csv
2026-05-11,2026-05-24,PROP-846525D0,Property 846525,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-430CA5CF,Property 430CA5,3,0,2,1,59.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-8F424ACA,Property 8F424A,4,0,1,1,50.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-43D8BE16,Property 43D8BE,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-61FE70F2,Property 61FE70,6,0,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-28A7A972,Property 28A7A9,4,1,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-507559B2,Property 507559,2,1,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-15C4B2C1,Property 15C4B2,5,0,2,2,66.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-7BD057D4,Property 7BD057,5,0,2,1,66.50,40.00,2026-01-01,2026-07-23,properties_period_04.csv
2026-05-11,2026-05-24,PROP-85C040C1,Property 85C040,6,0,1,1,45.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-BFCFD3F1,Property BFCFD3,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-16FD8C17,Property 16FD8C,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-DA79631D,Property DA7963,4,0,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_04.csv
2026-05-11,2026-05-24,PROP-B594FDA8,Property B594FD,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-D98A0A34,Property D98A0A,5,0,2,1,59.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-F75AF396,Property F75AF3,4,1,1,1,55.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-0A509508,Property 0A5095,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-BB4737D7,Property BB4737,2,0,1,1,50.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-258C656D,Property 258C65,2,0,2,1,62.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-F52FE8B4,Property F52FE8,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-2E327A6F,Property 2E327A,3,0,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-FECE1865,Property FECE18,2,0,2,1,62.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-2476444F,Property 247644,2,0,2,1,72.50,40.00,2026-03-19,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-167D930B,Property 167D93,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-23B08CAD,Property 23B08C,1,1,2,1,52.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-D8248E85,Property D8248E,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-AA45D193,Property AA45D1,1,0,1,1,55.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-FC154A3F,Property FC154A,1,1,2,1,59.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-2A4ECCC4,Property 2A4ECC,3,1,2,1,74.50,50.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-DAB50113,Property DAB501,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-C498828E,Property C49882,2,1,2,2,69.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-2CAD9A11,Property 2CAD9A,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-43D9B9CC,Property 43D9B9,2,1,3,2,100.00,67.50,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-0231885B,Property 023188,1,0,2,1,62.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-F3FD8F46,Property F3FD8F,1,0,2,2,66.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-CFDA1271,Property CFDA12,1,0,0,1,40.00,30.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-60C27B2C,Property 60C27B,1,1,2,1,62.50,40.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-38676AB9,Property 38676A,1,0,2,2,69.50,45.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-34CCC945,Property 34CCC9,0,3,,,0.00,0.00,,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-743C40B4,Property 743C40,0,1,,,0.00,0.00,,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-FB76D10F,Property FB76D1,0,1,,,0.00,0.00,,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-508CD3F1,Property 508CD3,0,1,1,1,55.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-FB303F76,Property FB303F,0,1,,,0.00,0.00,,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-79B22870,Property 79B228,0,1,1,1,45.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-3D870726,Property 3D8707,0,1,1,1,45.50,35.00,2026-01-01,,properties_period_04.csv
2026-05-11,2026-05-24,PROP-BF28EABA,Property BF28EA,0,1,,,0.00,0.00,,,properties_period_04.csv
2026-05-25,2026-06-07,PROP-8F424ACA,Property 8F424A,3,0,1,1,50.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-FC154A3F,Property FC154A,2,0,2,1,59.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-DA79631D,Property DA7963,3,1,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_05.csv
2026-05-25,2026-06-07,PROP-16FD8C17,Property 16FD8C,1,0,2,1,52.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-D98A0A34,Property D98A0A,1,1,2,1,59.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-28A7A972,Property 28A7A9,2,0,2,1,52.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-2476444F,Property 247644,1,0,2,1,72.50,40.00,2026-03-19,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-430CA5CF,Property 430CA5,1,0,2,1,59.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-AA45D193,Property AA45D1,1,0,1,1,55.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-43D8BE16,Property 43D8BE,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-BFCFD3F1,Property BFCFD3,3,0,1,1,55.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-0A509508,Property 0A5095,1,0,1,1,55.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-846525D0,Property 846525,2,0,1,1,45.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-167D930B,Property 167D93,2,0,2,2,59.50,45.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-B594FDA8,Property B594FD,2,0,2,1,52.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-4DAF268D,Property 4DAF26,1,0,2,1,52.50,40.00,2026-01-01,2026-08-16,properties_period_05.csv
2026-05-25,2026-06-07,PROP-0617E567,Property 0617E5,1,1,2,2,69.50,45.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-38676AB9,Property 38676A,1,1,2,2,69.50,45.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-F75AF396,Property F75AF3,2,0,1,1,55.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-2A4ECCC4,Property 2A4ECC,1,0,2,1,74.50,50.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-CFDA1271,Property CFDA12,1,1,0,1,40.00,30.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-85C040C1,Property 85C040,1,0,1,1,45.50,35.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-507559B2,Property 507559,1,0,2,1,52.50,40.00,2026-01-01,,properties_period_05.csv
2026-05-25,2026-06-07,PROP-0231885B,Property 023188,0,1,2,1,62.50,40.00,2026-01-01,,properties_period_05.csv
