Billing Period Start,Billing Period End,Work Item Key,Work Item Type,Service Date,Property Key,Client,Work Category,Worker Key,Default Worker Key,Assignment Overridden,Approved Client Price,Approved Worker Price,Cost,Business Income,Pricing Status,Price Approved At,Worker Price Overridden,Ready For Billing,No Payment,Public Holiday Flag,Source File
2026-03-30,2026-04-12,WI-0037,Job,2026-04-05,PROP-16FD8C17,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,78.75,40.00,0.00,38.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0038,Job,2026-04-05,PROP-0231885B,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,93.75,40.00,0.00,53.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0039,Job,2026-04-05,PROP-C498828E,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,104.25,45.00,0.00,59.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0040,Job,2026-04-05,PROP-430CA5CF,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,89.25,40.00,0.00,49.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0041,Job,2026-04-05,PROP-7BD057D4,Client 2,Cleaning,WRK-95B7F5D5,WRK-2E535014,true,99.75,40.00,0.00,59.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0042,Job,2026-04-05,PROP-D1ADDF45,Client 2,Key handling,WRK-2E535014,WRK-2E535014,false,68.25,35.00,0.00,33.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0043,Job,2026-04-05,PROP-507559B2,Client 2,Inspection,WRK-2E535014,WRK-2E535014,false,78.75,40.00,0.00,38.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0044,Job,2026-04-05,PROP-3D870726,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,68.25,35.00,0.00,33.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0045,Job,2026-04-05,PROP-258C656D,Client 2,Cleaning,WRK-95B7F5D5,WRK-2E535014,true,93.75,40.00,0.00,53.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0046,Job,2026-04-06,PROP-167D930B,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,89.25,45.00,0.00,44.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0047,Job,2026-04-06,PROP-15C4B2C1,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,99.75,45.00,0.00,54.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0048,Job,2026-04-06,PROP-F52FE8B4,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,89.25,45.00,0.00,44.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0049,Job,2026-04-06,PROP-2E327A6F,Client 2,Key handling,WRK-2E535014,WRK-2E535014,false,78.75,40.00,0.00,38.75,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0050,Job,2026-04-06,PROP-D98A0A34,Client 2,Cleaning,WRK-2E535014,WRK-2E535014,false,89.25,40.00,0.00,49.25,quoted,,false,true,false,true,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0051,Job,2026-04-07,PROP-B594FDA8,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,73.50,60.00,0.00,13.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0052,Job,2026-04-07,PROP-38676AB9,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,69.50,45.00,0.00,24.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0053,Job,2026-04-07,PROP-16FD8C17,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0054,Job,2026-04-07,PROP-FC154A3F,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,59.50,40.00,0.00,19.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0055,Job,2026-04-07,PROP-61FE70F2,Client 2,Key handling,WRK-95B7F5D5,WRK-2E535014,true,102.50,40.00,0.00,62.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0056,Job,2026-04-07,PROP-28A7A972,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0057,Job,2026-04-07,PROP-2CFAA8CA,Client 2,Key handling,WRK-E7E0BC96,WRK-2E535014,true,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0058,Job,2026-04-07,PROP-AA45D193,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0059,Job,2026-04-07,PROP-01FBB1D1,Client 2,Key handling,WRK-14C3AB0D,WRK-2E535014,true,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0060,Job,2026-04-07,PROP-DAB50113,Client 2,Cleaning,WRK-E7E0BC96,WRK-2E535014,true,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0061,Job,2026-04-07,PROP-086BBC52,Client 2,Key handling,WRK-14C3AB0D,WRK-2E535014,true,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0062,Job,2026-04-07,PROP-21A6A97C,Client 2,Cleaning,WRK-95B7F5D5,WRK-2E535014,true,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0063,Job,2026-04-08,PROP-507559B2,Client 1,Inspection,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0064,Job,2026-04-08,PROP-BFCFD3F1,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0065,Job,2026-04-08,PROP-0231885B,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0066,Job,2026-04-08,PROP-7BD057D4,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,66.50,40.00,0.00,26.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0067,Job,2026-04-09,PROP-61FE70F2,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0068,Job,2026-04-09,PROP-60C27B2C,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0069,Job,2026-04-10,PROP-167D930B,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0070,Job,2026-04-10,PROP-2E04A5DE,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,67.50,40.00,0.00,27.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0071,Job,2026-04-10,PROP-16FD8C17,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0072,Job,2026-04-10,PROP-15C4B2C1,Client 2,Cleaning,WRK-99159EBC,WRK-2E535014,true,66.50,45.00,0.00,21.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0073,Job,2026-04-10,PROP-2CAD9A11,Client 2,Cleaning,WRK-99159EBC,WRK-2E535014,true,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0074,Job,2026-04-10,PROP-D1ADDF45,Client 2,Key handling,WRK-99159EBC,WRK-2E535014,true,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0075,Job,2026-04-10,PROP-7BD057D4,Client 2,Cleaning,WRK-95B7F5D5,WRK-2E535014,true,66.50,40.00,0.00,26.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0076,Job,2026-04-10,PROP-507559B2,Client 3,Inspection,WRK-E7E0BC96,WRK-E7E0BC96,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0077,Job,2026-04-10,PROP-43D9B9CC,Client 3,Cleaning,WRK-E7E0BC96,WRK-E7E0BC96,false,100.00,67.50,0.00,32.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0078,Job,2026-04-12,PROP-FC154A3F,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,59.50,40.00,0.00,19.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0079,Job,2026-04-12,PROP-38676AB9,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,69.50,45.00,0.00,24.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0080,Job,2026-04-12,PROP-16FD8C17,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0081,Job,2026-04-12,PROP-507559B2,Client 2,Inspection,WRK-99159EBC,WRK-2E535014,true,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0082,Job,2026-04-12,PROP-85C040C1,Client 2,Key handling,WRK-99159EBC,WRK-2E535014,true,80.50,55.00,0.00,25.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0083,Job,2026-04-12,PROP-61FE70F2,Client 2,Key handling,WRK-95B7F5D5,WRK-2E535014,true,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0084,Job,2026-04-12,PROP-D1ADDF45,Client 2,Key handling,WRK-99159EBC,WRK-2E535014,true,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0085,Job,2026-04-12,PROP-F52FE8B4,Client 2,Cleaning,WRK-95B7F5D5,WRK-2E535014,true,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0086,Job,2026-04-12,PROP-258C656D,Client 3,Cleaning,WRK-E7E0BC96,WRK-E7E0BC96,false,104.50,70.00,0.00,34.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0087,Job,2026-04-12,PROP-2E327A6F,Client 3,Key handling,WRK-E7E0BC96,WRK-E7E0BC96,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-03-30,2026-04-12,WI-0088,Job,2026-04-12,PROP-7BD057D4,Client 3,Cleaning,WRK-E7E0BC96,WRK-E7E0BC96,false,66.50,40.00,0.00,26.50,quoted,,false,true,false,false,jobs_period_01.csv
2026-04-13,2026-04-26,WI-0089,Job,2026-04-13,PROP-60C27B2C,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0090,Job,2026-04-13,PROP-B594FDA8,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0091,Job,2026-04-13,PROP-0231885B,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0092,Job,2026-04-13,PROP-DA79631D,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0093,Job,2026-04-13,PROP-BFCFD3F1,Client 2,Key handling,WRK-99159EBC,WRK-95B7F5D5,true,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0094,Job,2026-04-13,PROP-2CFAA8CA,Client 2,Key handling,WRK-95B7F5D5,WRK-95B7F5D5,false,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0095,Job,2026-04-13,PROP-28A7A972,Client 2,Cleaning,WRK-95B7F5D5,WRK-95B7F5D5,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0096,Job,2026-04-13,PROP-430CA5CF,Client 2,Key handling,WRK-99159EBC,WRK-95B7F5D5,true,59.50,40.00,0.00,19.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0097,Job,2026-04-13,PROP-167D930B,Client 2,Cleaning,WRK-99159EBC,WRK-95B7F5D5,true,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0098,Job,2026-04-13,PROP-43D9B9CC,Client 3,Cleaning,WRK-E7E0BC96,WRK-99159EBC,true,100.00,67.50,0.00,32.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0099,Job,2026-04-13,PROP-D98A0A34,Client 3,Cleaning,WRK-E7E0BC96,WRK-99159EBC,true,59.50,40.00,0.00,19.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0100,Job,2026-04-14,PROP-F75AF396,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0101,Job,2026-04-14,PROP-507559B2,Client 1,Inspection,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0102,Job,2026-04-14,PROP-2476444F,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,72.50,40.00,0.00,32.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0103,Job,2026-04-14,PROP-85C040C1,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0104,Job,2026-04-14,PROP-AA45D193,Client 2,Cleaning,WRK-99159EBC,WRK-95B7F5D5,true,69.50,35.00,0.00,34.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0105,Job,2026-04-14,PROP-2CAD9A11,Client 2,Cleaning,WRK-99159EBC,WRK-95B7F5D5,true,62.50,40.00,0.00,22.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0106,Job,2026-04-14,PROP-7EEC7537,Client 3,Key handling,WRK-2E535014,WRK-99159EBC,true,94.50,67.50,0.00,27.00,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0107,Job,2026-04-15,PROP-21A6A97C,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,59.50,45.00,0.00,14.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0108,Job,2026-04-15,PROP-BED38869,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,35.00,0.00,17.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0109,Job,2026-04-15,PROP-DA79631D,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,73.50,40.00,0.00,33.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0110,Job,2026-04-15,PROP-086BBC52,Client 2,Key handling,WRK-99159EBC,WRK-95B7F5D5,true,55.50,35.00,0.00,20.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0111,Job,2026-04-16,PROP-43D8BE16,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,45.50,35.00,0.00,10.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0112,Job,2026-04-16,PROP-7BD057D4,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,66.50,40.00,0.00,26.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0113,Job,2026-04-16,PROP-28A7A972,Client 2,Cleaning,WRK-99159EBC,WRK-95B7F5D5,true,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0114,Job,2026-04-16,PROP-D98A0A34,Client 2,Cleaning,WRK-99159EBC,WRK-95B7F5D5,true,109.50,70.00,0.00,39.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0115,Job,2026-04-17,PROP-8F424ACA,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,50.50,35.00,0.00,15.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0116,Job,2026-04-17,PROP-DA79631D,Client 1,Cleaning,WRK-DD63004A,WRK-DD63004A,false,52.50,40.00,0.00,12.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0117,Job,2026-04-17,PROP-430CA5CF,Client 1,Key handling,WRK-99159EBC,WRK-DD63004A,true,59.50,40.00,0.00,19.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0118,Job,2026-04-17,PROP-3669A2DD,Client 1,Key handling,WRK-DD63004A,WRK-DD63004A,false,52.50,35.00,0.00,17.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0119,Job,2026-04-17,PROP-15C4B2C1,Client 1,Cleaning,WRK-99159EBC,WRK-DD63004A,true,66.50,45.00,0.00,21.50,quoted,,false,true,false,false,jobs_period_02.csv
2026-04-13,2026-04-26,WI-0120,Job,2026-04-17,PROP-61FE70F2,Client 2,Key handling,WRK-95B7F5D5,WRK-95B7F5D5,false,94.50,70.00,0.00,24.50,quoted,,false,true,false,false,jobs_period_02.csv
